"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RUNDC3B",-0.211045372299788,1.99454972132374,-1.2867317966144,0.198682180981711,0.225341228277565,-7.33633831043015,"stable"
"AC004706.3",0.139876584283406,-0.211553985682838,1.07934136147533,0.280867675570887,0.311723823056818,-7.33666691255378,"stable"
"METTL2A",-0.0693855855776118,4.12350181540865,-1.49422661162508,0.135640165250419,0.157103292180839,-7.33708878330911,"stable"
"NLGN4X",0.223172501775428,1.54769459097687,1.21009805253643,0.226716033317197,0.254915301740362,-7.33805265475763,"stable"
"AL590556.1",-0.124511593353408,-3.14466602985409,-0.882077495999913,0.378086835737697,0.411481743781422,-7.33816065941733,"stable"
"AL139424.3",0.122905870667418,-1.67179475895105,0.986907905062853,0.324084130982008,0.356237443419547,-7.34000206866307,"stable"
"STK32B",-0.223668397663981,5.20313148237853,-1.57705565046136,0.115307845208978,0.134629591784668,-7.34031098736466,"stable"
"LRRTM4",0.259509094328517,-2.54728486125706,0.907517292722012,0.364496304137708,0.397675479411606,-7.34033453598608,"stable"
"AL450992.2",0.138287359095659,-3.51369996273113,0.825841454862091,0.409221074117014,0.442563546274015,-7.34137891486773,"stable"
"AC097448.1",-0.0793258069046376,3.80400930574511,-1.46151100342205,0.144396837397067,0.16666959422662,-7.34192234568146,"stable"
"MAGOH2P",0.106871175696897,-1.02858052323887,1.02542418998252,0.305574786294995,0.33739946341644,-7.3422381635798,"stable"
"ZNF784",0.0901449634962503,2.97289746877388,1.35758206486319,0.175104828640818,0.199919548012162,-7.34264216406366,"stable"
"AC005972.3",-0.164176504991758,-3.01024292183889,-0.890401963966284,0.373605658518908,0.406968185431419,-7.34298952513979,"stable"
"KRTAP5-1",-0.181740522243802,-2.96852725250652,-0.898181728968411,0.369447626397588,0.402651508433483,-7.34324270967047,"stable"
"AP001324.3",-0.145470290921383,-4.06366400082653,-0.787698708568571,0.431182877714221,0.464553376085899,-7.34336879387222,"stable"
"AC119673.2",-0.381296363730812,0.255714908860757,-1.13283611507308,0.257733898004982,0.287464589762868,-7.34391430787138,"stable"
"PIFO",-0.171548764623287,3.49494507865955,-1.43416920290727,0.152043019478885,0.174960405075874,-7.34392860712169,"stable"
"AC104135.1",0.173679601696811,-4.02721218164467,0.768681696044889,0.442383632659163,0.475817954061998,-7.34393797221127,"stable"
"TEKT4",0.152834222344608,-4.18421124430082,0.751088631801693,0.452892708460481,0.486438300654666,-7.34455596628379,"stable"
"CRCP",0.0602926515780968,5.18877159799088,1.56088322379701,0.119076634214002,0.138800222439171,-7.34471703499342,"stable"
"RPS27AP11",0.14907319839404,-2.80373780907564,0.884338752254622,0.376866298833124,0.410253317268117,-7.34585593089861,"stable"
"CALCOCO1",-0.091510460714411,6.87274068942431,-1.62854840589812,0.103931638005017,0.122000572575216,-7.34657698994001,"stable"
"PRDX6-AS1",0.0743672540772247,0.978728275456898,1.16088934859197,0.246146859656854,0.275411659688669,-7.34685522866822,"stable"
"SUPT6H",0.0702177763524832,7.25429700450857,1.63447894191594,0.102680917633439,0.12062218557605,-7.34712127001469,"stable"
"KIRREL1",0.182965472500332,6.65757481114828,1.61687457693164,0.10642902388556,0.124735541741471,-7.34713495634102,"stable"
"RPL22",-0.0926316092102706,7.16813691529119,-1.63518743403482,0.102532306177305,0.120463441270142,-7.34719767768434,"stable"
"CCKBR",-0.152564342608821,-4.35905483050587,-0.752466368702157,0.452064661575436,0.485598014475537,-7.34723021223925,"stable"
"LINC00671",-0.459119025937528,2.53328990975303,-1.36177915038633,0.173776791280241,0.19853011750845,-7.34725336396585,"stable"
"PIK3CD-AS2",0.165936578870693,1.17611947580956,1.17298832868805,0.241264234169328,0.270264326156173,-7.3473955917548,"stable"
"LINC01694",0.159212776175101,-2.94279510197659,0.869714943677926,0.384802712909133,0.418162782739013,-7.347421270785,"stable"
"ZNF776",-0.0798159945729964,4.33737036991326,-1.50811960772347,0.132048329227839,0.153141563357274,-7.34807575781062,"stable"
"LINC00670",-0.145096122850225,-3.49271475889919,-0.839631359072157,0.401448301428594,0.434665907115594,-7.34825914797282,"stable"
"DCTN3",-0.0857046106630417,5.4960636351701,-1.5802000240972,0.114586125079385,0.133821900236452,-7.34836971746161,"stable"
"FAM209B",0.109173328664001,-2.99506917545677,0.866027623594356,0.386819898708147,0.42013348149408,-7.34989485204206,"stable"
"LINC01465",0.107981885592871,-0.591669100627871,1.04108308948669,0.298254758657518,0.329874044597202,-7.35147969030659,"stable"
"BCAT2",-0.100765052132862,5.17122123102721,-1.56186448949783,0.118845237574248,0.138548567756891,-7.35178637587938,"stable"
"KCNK15-AS1",-0.160356874237674,-4.18216363566742,-0.765326876562656,0.444376747927131,0.47782752618497,-7.3521963957541,"stable"
