"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TRPC7",-3.709525204358,-1.26486684103632,-11.7598016654697,1.43351188466809e-22,1.18302526819564e-21,40.4969974040049,"down"
"EPHA1-AS1",2.50985958184087,-2.32200936063778,11.7257906626793,1.75353201419489e-22,1.43679455613351e-21,40.4623270042603,"up"
"LOX",3.43241028517674,5.61862644740625,11.8180443378418,1.01519033517984e-22,8.5043803504238e-22,40.3872214186404,"up"
"ADAMTS7P3",3.01620695606583,-2.96366738057551,11.7054568668642,1.97804019227695e-22,1.61230880255908e-21,40.3525811608006,"up"
"MST1L",-3.36190136128146,3.92499600581779,-11.8163648916461,1.02534115199984e-22,8.58106365176338e-22,40.3453130504869,"down"
"LILRA4",4.04017428020575,-1.51439536729119,11.706828087839,1.96203504983288e-22,1.60002052974292e-21,40.3406367105054,"up"
"FMNL1",2.2053631187205,3.5746540525006,11.7763989732023,1.29926151747282e-22,1.07532629919686e-21,40.2969634806811,"up"
"PITRM1-AS1",2.12013977192125,-0.782483884809357,11.7104824807472,1.92001002410715e-22,1.56797782566435e-21,40.2961386916408,"up"
"LINC01615",3.35012423392962,-2.63321677177893,11.6923519593911,2.13774606231405e-22,1.73754950248991e-21,40.2710349091657,"up"
"HLA-DPB2",3.51475860934294,-1.66009120312301,11.693858907103,2.11874399421132e-22,1.72454741656491e-21,40.2645119400311,"up"
"PATL2",2.29392154337947,0.604338863517057,11.7192528721772,1.82278799815697e-22,1.49212056054552e-21,40.2610228645589,"up"
"PLAAT5",-3.24843615249773,-0.266123660625527,-11.7266818389587,1.74429771179546e-22,1.42990881469328e-21,40.2259649755225,"down"
"PRODH2",-3.50556368252392,5.25446010225585,-11.8054615256085,1.09375752765074e-22,9.12259488299779e-22,40.2214975227002,"down"
"KCNK9",5.29411128579692,-1.05244516601469,11.6872779851258,2.20298902933629e-22,1.78720339962414e-21,40.2192916202677,"up"
"ACADM",-2.23213153025613,6.72403906686673,-11.8059292905831,1.09073075558445e-22,9.1017595527806e-22,40.20087423838,"down"
"SUGCT",-2.2510991571948,3.99624439010276,-11.7859868894741,1.22751652832362e-22,1.01790448145911e-21,40.1391018478157,"down"
"LNCSRLR",3.13288550957555,-2.63108602866787,11.6666459862994,2.48944453694518e-22,2.00635710222431e-21,40.120556589009,"up"
"CEACAM21",2.00956575873694,0.887721775390577,11.698467348245,2.06167503660965e-22,1.67968460744132e-21,40.1079242238951,"up"
"IL13RA2",-2.68124622115427,0.574799593920797,-11.7169401802743,1.84793629710616e-22,1.51126951803718e-21,40.0994217371503,"down"
"LTA",3.15078211351195,-1.87156246765318,11.6566501040189,2.64133804464735e-22,2.12281206529431e-21,40.0490195147993,"up"
"CTSW",2.98298115304978,2.57548379373751,11.7082919296518,1.94509173289548e-22,1.58770764256973e-21,40.0478488054212,"up"
"CATSPER1",2.58682622813317,-1.60231975100344,11.6591135394409,2.60306512160618e-22,2.09498672596776e-21,40.045397880665,"up"
"ANKRD2",-3.70703602933481,-0.276029789037879,-11.6961951906311,2.08961771107211e-22,1.7016446970722e-21,40.039074902801,"down"
"PCLAF",2.40334498524114,1.24744659146756,11.6871126687083,2.20514789991884e-22,1.78811215718808e-21,40.0232700437752,"up"
"OLFML2A",3.03517073839056,5.31031819772062,11.7535980442811,1.48717942329191e-22,1.226139548466e-21,40.0086421010696,"up"
"CDT1",2.38454670831709,0.709612220099491,11.6749917505554,2.36933854416468e-22,1.9140386221396e-21,39.99552046752,"up"
"TMEM121B",2.2483402122222,-1.35884000960776,11.6523806682081,2.70900736517605e-22,2.17411494537985e-21,39.9877526743505,"up"
"HES4",2.5020689133856,1.77620945882791,11.6882197801987,2.19073036826455e-22,1.77809633614683e-21,39.9868999380159,"up"
"S100A14",-2.24702808084762,1.78493918745633,-11.7185532622258,1.83035925721461e-22,1.4976062078398e-21,39.9828944624625,"down"
"RAET1E",-2.04813530909529,-0.181242895821881,-11.6711352987821,2.42410003013686e-22,1.95644078850474e-21,39.9205571305449,"down"
"ACKR3",2.50565817559567,4.84297090587552,11.7356619701322,1.6539177762751e-22,1.36035329759082e-21,39.9160536203577,"up"
"PDZRN4",-2.66172214447436,-1.40570233078842,-11.6555290211539,2.65894147447363e-22,2.13596255170618e-21,39.9121740673327,"down"
"NOS1AP",-2.34038547628465,-1.38337609813256,-11.6522262575001,2.71148695192015e-22,2.17411494537985e-21,39.8964250648886,"down"
"NRM",2.04917096598223,3.59838943807881,11.7070299708484,1.95968959794498e-22,1.59886523358402e-21,39.8739590976549,"up"
"SLC6A1",3.26521901465031,1.59987703475879,11.658949312329,2.60559927606605e-22,2.09604633352696e-21,39.8580882454085,"up"
"KIF21B",2.46763387932299,1.46488450532216,11.652749003888,2.70310164127312e-22,2.17042419563977e-21,39.8038840316543,"up"
"SLC44A4",-2.9604809265465,4.29777607246766,-11.7268366584172,1.74269844986415e-22,1.42927840945266e-21,39.7837268445398,"down"
"SYTL5",-2.86911378593606,-1.02895230429692,-11.6379642603407,2.95057663235824e-22,2.35922790181361e-21,39.7769728594978,"down"
"SLC38A4",-3.36691820652217,0.321051044667281,-11.6595236953857,2.59674685031666e-22,2.09087918747433e-21,39.7691296094929,"down"
