"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"ADRB1",16.9143019080317,-2.82817789873002,0.22640394411546,1.33448783831939e-36,1.79727494523455e-35,"down"
"ADTRP",136.558473817023,-2.11727648879357,0.211300517932503,3.09012746365662e-24,2.34005554857587e-23,"down"
"AFF3",339.795735806042,2.06992646109244,0.155163100640274,3.38414389815918e-41,5.53781973383941e-40,"up"
"AFM",1718.47380801836,-7.15565929755062,0.294027167809597,3.22932569950678e-131,7.83313314986613e-129,"down"
"AFP",97.6539881189687,-3.66171449185453,0.273727127897514,1.40333576402579e-41,2.33581676919976e-40,"down"
"AGAP2",87.0957977238297,2.57539969110811,0.162696502146652,4.2102344876672e-57,1.24100658582049e-55,"up"
"AGAP2-AS1",190.569641019568,2.24222746294001,0.171838762427084,8.32640072593854e-40,1.29086928964184e-38,"up"
"AGBL4",70.0162696648769,-2.91545737105383,0.1451042665837,1.50135602142569e-90,1.36033370875169e-88,"down"
"AGMAT",4864.05335689104,-3.55924037521316,0.220200224978814,1.72553772101267e-59,5.58843829923519e-58,"down"
"AGTR2",5.58288051637727,-3.06543799848467,0.630392248375528,2.09550358677631e-07,5.6100133963754e-07,"down"
"AGXT",425.55027629408,-4.64559159921947,0.234845871513192,9.36008404023777e-88,7.75654508757924e-86,"down"
"AGXT2",7046.38297062785,-2.57861543547169,0.238961657975059,7.83320400697985e-28,7.03447699600975e-27,"down"
"AHNAK2",3553.94419922644,5.98536101804589,0.236059931781965,1.82109779570728e-143,5.57974779879471e-141,"up"
"AHRR",75.449585751415,2.66024791387773,0.25466969888118,2.2762600921593e-20,1.41384349175838e-19,"up"
"AHSG",2.54693900176625,-2.89497954360579,0.324148873149656,4.33616840209938e-20,2.65925776695513e-19,"down"
"AICDA",20.8916610356875,4.35220071469504,0.348718540186706,3.63606577116638e-37,5.02787574509385e-36,"up"
"AIF1L",9715.57039257229,-2.61893966059746,0.209415909852349,1.10547127238376e-36,1.49402228953734e-35,"down"
