"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AL731563.1",1.71313195957675,2.60410493596483,0.305840689426805,8.51457973379979,1.67195550451504e-17,5.70881225672507e-17,"up"
"SNORD93",2.13157553704965,2.6464044335548,0.310856068181233,8.51327898804894,1.6908260344224e-17,5.7708203205289e-17,"up"
"AC005306.1",2.18101372056234,2.62355453964443,0.308180558255015,8.51304363422391,1.69426280546347e-17,5.78194305509258e-17,"up"
"AC097717.1",4.22114441679283,2.00762805741523,0.235861750555693,8.51188483374364,1.71128504948403e-17,5.8357459009416e-17,"up"
"AC116021.1",3.0109925349265,2.90388661310842,0.341168357407427,8.51159420286029,1.71558068455321e-17,5.84978104406758e-17,"up"
"LINGO2",18.6179248726252,-2.45695340496428,0.288669367147527,-8.51130630604331,1.71984639874308e-17,5.8630963272587e-17,"down"
"AP003557.2",4.33269729980661,2.17332854621452,0.25572833444928,8.49858327547029,1.91918544964349e-17,6.52555169777849e-17,"up"
"KLRC4",3.76343288688431,2.17059183981988,0.255548997400428,8.49383821458987,1.99922554975599e-17,6.79059903845131e-17,"up"
"ATP6V0CP4",4.82335571990684,2.44267038225337,0.287671953258729,8.49116625580966,2.04573665501221e-17,6.94640201773467e-17,"up"
"AC008147.4",3.41932763615649,2.20996545666013,0.260476254188833,8.48432600331393,2.16972668869586e-17,7.36049722663194e-17,"up"
"LINC02268",18.0641640781724,2.6869736060544,0.316704357650769,8.48416998738406,2.17263952160101e-17,7.36960957927037e-17,"up"
"AC005837.4",4.53865253292122,2.68923668206944,0.317110321204491,8.48044513926514,2.24333994222001e-17,7.60625137480499e-17,"up"
"RPL23AP32",14.8670015729491,2.07979092087511,0.24525675451941,8.48005562558525,2.25086302583914e-17,7.63016747726847e-17,"up"
"AP000553.7",4.71352720739778,2.19467174120552,0.258819291157755,8.47955239885047,2.26061923079331e-17,7.66244088977787e-17,"up"
"RNU6-44P",3.56675154712555,3.31818142038702,0.391413697721528,8.47742794823636,2.30226850661988e-17,7.79929357185193e-17,"up"
"AL109924.1",3.71811962371595,4.2642439722142,0.503083210967854,8.47621999551617,2.3262867617328e-17,7.87681036737546e-17,"up"
"GREM1",463.248896894895,-2.46330162368515,0.290706855819512,-8.47348995860803,2.38148377859368e-17,8.06118868786983e-17,"down"
"TRGV6",1.51207895917787,2.49930864730932,0.295009620163425,8.47195642611516,2.4130540819146e-17,8.16635177482425e-17,"up"
"AL109924.3",3.03449348185285,4.08875007622623,0.482863468670461,8.46771466784264,2.50254427393665e-17,8.46568280971974e-17,"up"
"NLRP7",10.3962447463192,2.02756293778616,0.239501066347523,8.46577833120836,2.54447697521298e-17,8.60037450480337e-17,"up"
"MIR4422HG",7.74287936630689,2.65764611703799,0.314043064142817,8.46268050622947,2.61300850267345e-17,8.82467207702174e-17,"up"
"AC068050.1",1.70755787164916,3.06868385271675,0.362634492217101,8.46219518158686,2.62390881611027e-17,8.85964392427596e-17,"up"
"AL035661.1",416.81244564254,-3.27167492671448,0.386762769683064,-8.4591258082971,2.69389293408309e-17,9.08933735278745e-17,"down"
"AC024084.1",2.08537491798631,2.73323386850976,0.32329797340289,8.45422518347689,2.80946661768891e-17,9.46946088900454e-17,"up"
"AC008734.1",3.18257571352578,2.21948504229763,0.26265128996834,8.45031083824169,2.90528274413367e-17,9.78632646658807e-17,"up"
"AC093010.1",2.55517908026326,2.39402471204489,0.28331017635423,8.45018962203313,2.90830079530355e-17,9.79547767867002e-17,"up"
"AC015983.2",1.72932018945171,-2.28028562032119,0.269901401966681,-8.44858753494983,2.94848147547885e-17,9.92361365424392e-17,"down"
"KIAA0895LP1",4.94775967488336,2.2556192420961,0.266989012531362,8.44835980593451,2.9542372453877e-17,9.94195637787877e-17,"up"
"AC015853.1",3.66345690937345,2.00840704325859,0.237844577689768,8.44419941277055,3.06136219617734e-17,1.02960711396161e-16,"up"
"VSIG10L2",1.99928783812798,2.72278839109979,0.322463318278835,8.44371510419485,3.0740788925041e-17,1.03377708406347e-16,"up"
"GXYLT1P6",1.74142855323236,-2.12472327159149,0.251679900131534,-8.44216510925608,3.11512906781603e-17,1.04725678247809e-16,"down"
"FOXB1",5.11184573421456,2.99760116472117,0.355266884788069,8.43760365255929,3.23909836815618e-17,1.08825804930125e-16,"up"
"AC096708.3",4.67088984197634,2.12692398151399,0.252109499225928,8.43650869183612,3.26957373769645e-17,1.09815655169722e-16,"up"
"AC092580.4",1.8881034447795,2.85522927788951,0.338479957012903,8.43544564082022,3.29943154172893e-17,1.10784156155821e-16,"up"
"RN7SL648P",2.59368408446856,2.87761088263125,0.341198859740895,8.43382326897721,3.34551817264386e-17,1.12308395574638e-16,"up"
"AC035139.1",1.8049196034899,2.82693789268143,0.335268447201162,8.4318638281677,3.40202720095298e-17,1.14146457091321e-16,"up"
"AC013553.1",1.70219820795881,2.51980812621828,0.298932543223111,8.42935365634514,3.47579652259111e-17,1.16549426666234e-16,"up"
"RPL35AP17",2.1625635196036,2.7459487888297,0.325822654824984,8.42774051517285,3.52403433247161e-17,1.18142551422419e-16,"up"
"AC084026.1",1.79658288119474,3.25712434414536,0.386575772111255,8.42557806030321,3.5897356896905e-17,1.20307956222834e-16,"up"
"LINC02863",3.20113911525688,2.13681049155936,0.253656542866444,8.42403064952453,3.63749056055577e-17,1.21883303064427e-16,"up"
"SERPINA4",117.25335880712,-2.85304026254662,0.338906346772754,-8.41837365902051,3.81746550240027e-17,1.27834761039895e-16,"down"
"AC159540.2",2.52243083538832,2.28099327500395,0.270976747311767,8.41767161807281,3.84040454887568e-17,1.2856318760107e-16,"up"
"AC002401.1",9.57746259289541,-2.04295989954107,0.242863117192898,-8.41198088517666,4.03143599333928e-17,1.34847157842851e-16,"down"
