"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CPSF1",0.649329329145,5.2752648477627,5.17385022149445,7.88550552186129e-07,1.72906607513491e-06,3.99021205052038,"stable"
"CALCOCO2",0.319975900468804,6.87937791470513,5.17723657868158,7.76661346519688e-07,1.70386454445475e-06,3.98982158013757,"stable"
"SRSF12",0.850792576870467,0.9284564107236,5.03855626894573,1.4396133977354e-06,3.08399012469076e-06,3.98668878625018,"stable"
"CCDC174",-0.329733565125221,4.20191319215508,-5.15856455191272,8.44459044489932e-07,1.84671779101806e-06,3.98023220150724,"stable"
"LRCOL1",1.31491587611488,-2.71071378756416,4.9523632430691,2.10150579285183e-06,4.43242124772657e-06,3.97982430828618,"stable"
"WFDC21P",1.54420605241899,-1.36081472819095,4.97647748602532,1.89124634989823e-06,4.00612845004283e-06,3.97809618245294,"stable"
"CERS1",1.91283006306362,-2.5865522501432,4.94770196456234,2.14468817435708e-06,4.52073061363501e-06,3.9654956102289,"stable"
"PILRB",0.95861395969392,6.06948355944925,5.16893662629558,8.06117398314918e-07,1.76623533307768e-06,3.94931746738632,"stable"
"HPSE2",-1.34634338538654,-2.97223475228018,-4.9572994813271,2.0566965927214e-06,4.342167260694e-06,3.94899846456721,"stable"
"ZFAND4",-0.371947787339535,2.45309890366739,-5.09278372447004,1.13235357545621e-06,2.44831283615657e-06,3.94885670380369,"stable"
"FAM216A",0.610117013191889,2.67939149779197,5.08858978230969,1.15364059777271e-06,2.4918347416132e-06,3.94858846970655,"stable"
"GPBP1L1",-0.27505637577023,6.50489582313915,-5.16743981357824,8.11544026429446e-07,1.77789900928772e-06,3.9443040009168,"stable"
"MTND2P28",-1.08528392692401,10.0669175276893,-5.14025372403277,9.16524311769352e-07,1.99670539447094e-06,3.9436914399173,"stable"
"SHARPIN",0.615085206311604,5.76669011712357,5.16732945989965,8.11945513411269e-07,1.77855223481041e-06,3.94257164100494,"stable"
"FLYWCH1",0.517822159357293,4.49886404537598,5.14889355908592,8.81804679596397e-07,1.92520831442638e-06,3.93925417242654,"stable"
"OSBPL9",-0.356065470409333,6.83087620160877,-5.16439284015407,8.22700796196479e-07,1.80165299663178e-06,3.93712008705148,"stable"
"ARHGAP12",-0.371761014127969,5.10267332608098,-5.16027724192362,8.38007746135493e-07,1.83354135100693e-06,3.92053062937827,"stable"
"COPG2",-0.394407688886323,3.71307488109115,-5.13105583347821,9.54948180640393e-07,2.07857288275691e-06,3.91752901798529,"stable"
"UPRT",-0.379622169565877,3.61277421305991,-5.12754713223788,9.70014910812999e-07,2.11003369846421e-06,3.91501306923598,"stable"
"PABPC1",0.444089799523994,8.75706592806159,5.14884959529489,8.81978067133112e-07,1.92534268649461e-06,3.91230677129902,"stable"
"ATXN10",-0.411506871714927,6.34186041709892,-5.15819907583774,8.45841952097524e-07,1.84927218762495e-06,3.9025277198473,"stable"
"CDK2AP2",0.783349784015955,5.95367049195319,5.15819929057069,8.45841138932811e-07,1.84927218762495e-06,3.90174989599256,"stable"
"SCRN3",-0.582171325260895,4.10060686545804,-5.1390081643158,9.21638124794637e-07,2.00759209393138e-06,3.8980304320188,"stable"
"SLAIN1",-0.662862424575883,2.5048312365819,-5.08564160026428,1.16883699315638e-06,2.52402519282327e-06,3.89500811279641,"stable"
"TNKS",0.427972705003081,4.97982335308242,5.14864453279112,8.82787245712624e-07,1.92642959848324e-06,3.89141028336258,"stable"
"CEP68",0.437727212881629,4.82199874987516,5.14444969727893,8.99499568248174e-07,1.96203453063757e-06,3.8851769992498,"stable"
"YPEL3",0.793687865826286,5.18773901781906,5.14670894061461,8.90460795013718e-07,1.94262863846929e-06,3.88175622695963,"stable"
"KIAA1671",0.663060841324678,5.49187134889825,5.15075068780148,8.74510625971163e-07,1.91025256009308e-06,3.87942765542209,"stable"
"TNFRSF19",-1.03029101031683,4.51805510821658,-5.14439084577066,8.9973621046618e-07,1.96211792034143e-06,3.87933815334604,"stable"
"SORBS2",0.596188434037562,6.0254023009861,5.15327057866172,8.64707342448028e-07,1.88955787004859e-06,3.87771448363651,"stable"
"NUP205",0.45608967939015,4.79965431774524,5.14157205071178,9.11141826245769e-07,1.98573319898986e-06,3.87552712495834,"stable"
"ANKDD1A",0.778577486212051,2.70052809934499,5.06821611788561,1.26271256054215e-06,2.71685998371867e-06,3.87314767587884,"stable"
"KDM5A",0.389825845880802,5.33500465460003,5.14880029942086,8.82172523182309e-07,1.92552301085121e-06,3.87157216789732,"stable"
"STK40",-0.400695748918451,5.18924118002284,-5.14935031888315,8.80005239421884e-07,1.92176711869184e-06,3.86953836385692,"stable"
"DENND2C",0.58927720469948,1.08309666129457,5.0163678528247,1.5874754637311e-06,3.38851706238449e-06,3.86178659997219,"stable"
"PERP",0.801531990048683,6.01286746395243,5.14863834302621,8.82811681814364e-07,1.92642959848324e-06,3.85962477250175,"stable"
"TMEM62",0.338131731556198,4.2515682496456,5.1239065071536,9.85892590972634e-07,2.144029933501e-06,3.84906080353916,"stable"
"NOL11",-0.354492284687901,5.3434032509856,-5.14442869801678,8.99583999437837e-07,1.96203453063757e-06,3.84380081600625,"stable"
"CASS4",1.03028645622576,0.284099895841436,4.98488933784944,1.82282392956314e-06,3.86594972864722e-06,3.83407962942731,"stable"
"FAM20C",-0.696933718266814,6.15940531355313,-5.14166407946419,9.10767240607986e-07,1.98516814979317e-06,3.83027512449439,"stable"
"CSTF3",-0.236502320231837,4.49013018456622,-5.12963678175955,9.61014110209061e-07,2.09098305197788e-06,3.82862553106436,"stable"
"HAS3",0.734030217020897,0.954240576045949,5.00248058713246,1.68741871077438e-06,3.59293915967605e-06,3.82459564298377,"stable"
"PPP6R2",-0.326084536252524,5.79976446700322,-5.14121143562935,9.12611087133558e-07,1.98843182698446e-06,3.8241722382856,"stable"
"PIWIL1",-1.06970987789342,-2.48100959328833,-4.93615311088112,2.25542135177193e-06,4.74484645860366e-06,3.82379408122196,"stable"
"SNORD14E",-1.30637852384411,-2.23460210092876,-4.94139126747382,2.20452564509745e-06,4.64231302511959e-06,3.81860769575298,"stable"
"PDE4D",-0.493483571798627,5.30738367769604,-5.13814147561516,9.25212803318944e-07,2.01512378658092e-06,3.81716496887758,"stable"
"CCDC184",0.909448072577303,-0.400883816316709,4.9638354613839,1.9987906134656e-06,4.22457709156664e-06,3.81089352352782,"stable"
"TPH1",0.912237933745344,-0.892127192729197,4.95147846081324,2.1096370385101e-06,4.44902629155352e-06,3.8069084815599,"stable"
"PRRT3-AS1",0.958288041589886,-1.23491844166672,4.94293556556381,2.1897347129782e-06,4.61173025249814e-06,3.80335830113308,"stable"
"ZNF839",-0.439512590671833,3.83987874223671,-5.10802865908261,1.05814645060161e-06,2.29478346524399e-06,3.79951066007945,"stable"
"GPRC5B",-0.55920054931709,5.87117905405859,-5.13484613946987,9.38928087321561e-07,2.04447850028341e-06,3.79766567411131,"stable"
"RTTN",-0.588116476816392,3.62460225486337,-5.10231635219669,1.08538043877487e-06,2.35147549125463e-06,3.79737393272544,"stable"
