"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"SLC16A1",2.47552282044077,6.30441239255354,21.1320810941667,1.41123171137225e-74,4.68871680858896e-73,158.752978495701,"up"
"AC011239.2",-3.29177764212779,-3.40024532227559,-21.0995701154399,2.09549398717122e-74,6.91074843592064e-73,158.737851616257,"down"
"SAP30",2.49793612623579,3.99235263737857,21.1059159276057,1.93989248032657e-74,6.41336586714131e-73,158.674944504677,"up"
"CCBE1",-4.28151449556887,-0.454111731091475,-21.1083848547119,1.8825226572595e-74,6.23908497978266e-73,158.634577514794,"down"
"NECTIN4",-3.6765306910577,-0.332493689152321,-21.1041356922447,1.98234050758468e-74,6.54562976469955e-73,158.618978555779,"down"
"VAT1L",-3.8519708627938,0.659696362957141,-21.112428447391,1.79220253578913e-74,5.94709584029434e-73,158.616443177393,"down"
"MTNR1A",-3.91699169475539,-4.03853293235371,-21.079431148842,2.67682234311291e-74,8.80625284215256e-73,158.499256383167,"down"
"FAM217A",-2.72620273921108,-3.34684481630225,-21.0572182061342,3.50659779370513e-74,1.15078213029158e-72,158.232589341413,"down"
"MAP3K9",-2.15966869370537,2.23000977775232,-21.0838568178302,2.53660837907514e-74,8.35522651839835e-73,158.22708688243,"down"
"SMIM22",-4.02769217078061,-2.85561266192808,-21.0539756701397,3.64755967547645e-74,1.19557909558526e-72,158.152593888555,"down"
"UTS2R",-3.51551559429352,-4.98784978689627,-21.038255566034,4.41549059493579e-74,1.44375772965144e-72,158.024651342409,"down"
"CGN",-3.10660983482628,3.83740145044497,-21.0652441986165,3.18066031677647e-74,1.04509637761533e-72,157.830265480043,"down"
"LAMA4",2.878438496894,7.08987510409329,21.0494844054232,3.8522095829242e-74,1.26111652426573e-72,157.71124141367,"up"
"AC023158.1",-3.75255944594941,-5.06927782989343,-21.0075559339123,6.41204388865529e-74,2.09148078762318e-72,157.650892456126,"down"
"AC011503.1",-3.54777323575667,-4.82439581687191,-21.0045608580009,6.64968585316799e-74,2.16635938147194e-72,157.613404526606,"down"
"CAV2",2.01300744524942,7.18757605918316,21.0345457184663,4.61912357096704e-74,1.50850111065491e-72,157.466965309003,"up"
"CFAP74",3.65542012501056,-0.429220617789223,20.9775279112534,9.23496592556825e-74,2.99043365212966e-72,157.301624601543,"up"
"HPD",-4.99683491567205,1.46091690407972,-20.9898509137572,7.95094523943072e-74,2.58400901526808e-72,157.008490094583,"down"
"TMC4",-3.163548694081,3.67631857453166,-20.9877566173824,8.15584079373889e-74,2.64738987120735e-72,156.898352698138,"down"
"TUBAL3",-5.04629431069675,-3.787113031072,-20.9413523458593,1.43306288809201e-73,4.62931110307504e-72,156.793853393184,"down"
"MYMK",-3.40641703898615,-4.63695457698203,-20.9355644581948,1.53741925227035e-73,4.94853361246972e-72,156.776631560603,"down"
"AC009879.4",-2.84781952879989,-4.39978421099226,-20.9338307855699,1.57013131912057e-73,5.04776509931185e-72,156.75795778688,"down"
"CCDC160",-2.9837434678336,0.558312114059145,-20.9378088881039,1.49607948534961e-73,4.82706175224955e-72,156.566964553872,"down"
"TMSB10",2.08471308648227,9.97556727659954,20.9578262674702,1.17319382607162e-73,3.79441168451534e-72,156.429380998411,"up"
"AC091965.1",-2.76017682767443,-3.96771707687688,-20.9066298196731,2.18465523935961e-73,6.97321146163213e-72,156.42169935693,"down"
"PACRG",-3.28129004001041,0.516452954632577,-20.9068959862217,2.17760645220476e-73,6.95899692449512e-72,156.173331422256,"down"
"FSTL4",-3.54785550417662,-0.38284645727106,-20.8719840597611,3.32697041016959e-73,1.05690439143918e-71,155.811575848815,"down"
"GPR182",-3.03870283256642,-1.17880601508745,-20.8628188458397,3.71846460689111e-73,1.1798754205913e-71,155.786897716476,"down"
"VWA8-AS1",-2.70133262688616,-4.12128630137604,-20.8446572800843,4.63546281877108e-73,1.46563713557653e-71,155.675900301462,"down"
"LILRB1",3.1938287039405,3.60121050397824,20.8388203485038,4.97572918592211e-73,1.5695205992111e-71,155.497736458579,"up"
"WNK3",-2.44085969563554,1.11141962655088,-20.8431680739511,4.72000124729533e-73,1.4906086388985e-71,155.404207628996,"down"
"BCAM",-2.15654563683689,8.04689747938975,-20.8590108793782,3.89436355033065e-73,1.23422784292512e-71,155.203116067708,"down"
"NDNF",-5.30747181050875,1.05586298409098,-20.8374635816175,5.05833281274601e-73,1.59370175529196e-71,155.175829464281,"down"
"TRPV2",2.15035042537997,4.25479556497657,20.7997881457801,7.9899031658171e-73,2.51143357188614e-71,154.916194447426,"up"
"TAC1",-4.36624727441038,-4.18910003700245,-20.7724545737147,1.11312113759049e-72,3.48656588096683e-71,154.779919630603,"down"
"CR2",-4.72827000208764,-2.07995103440447,-20.7717826575766,1.12223004121725e-72,3.51099555018867e-71,154.658016535795,"down"
"RPL12P30",-3.07692898212218,-4.51193609284943,-20.7539771872887,1.39273746487577e-72,4.33705887436111e-71,154.58190455534,"down"
"NCCRP1",-3.31640359069318,-1.59566171032294,-20.7607747934957,1.2825240605659e-72,4.00781295010406e-71,154.562958929528,"down"
"AL023806.1",-2.54298023267647,-2.65390991345037,-20.7467963840425,1.51946002819926e-72,4.72071405284804e-71,154.461724213575,"down"
"HPCAL4",-4.4836200201201,-1.356073342633,-20.7578545104937,1.3287620124587e-72,4.14264733465613e-71,154.446641560581,"down"
"KIF5A",-2.86288963673706,-0.951538180299715,-20.7522373018812,1.42243726482364e-72,4.4244069541127e-71,154.443760972009,"down"
"CLNK",-3.70462698410907,-0.0348586430230247,-20.7599891382667,1.29480315868564e-72,4.0414740734202e-71,154.414650542781,"down"
"GCOM1",-3.44457367635803,-0.943004364794677,-20.7323184493739,1.81107134207391e-72,5.61369304320064e-71,154.176823240876,"down"
